LGA,repDS
Aba North,Ngor-Okpala
Aba North,Ngor-Okpala
Aba South,Ngor-Okpala
Aba South,Ngor-Okpala
Arochukwu,Ngor-Okpala
Arochukwu,Ngor-Okpala
Bende,Ngor-Okpala
Bende,Ngor-Okpala
Ikwuano,Ngor-Okpala
Ikwuano,Ngor-Okpala
Isiala-Ngwa North,Ngor-Okpala
Isiala-Ngwa North,Ngor-Okpala
Isiala-Ngwa South,Ngor-Okpala
Isiala-Ngwa South,Ngor-Okpala
Isuikwato,Ngor-Okpala
Isuikwato,Ngor-Okpala
Obi Nwa,Ngor-Okpala
Obi Nwa,Ngor-Okpala
Ohafia,Ngor-Okpala
Ohafia,Ngor-Okpala
Osisioma Ngwa,Ngor-Okpala
Osisioma Ngwa,Ngor-Okpala
Ugwunagbo,Ngor-Okpala
Ugwunagbo,Ngor-Okpala
Ukwa East,Nsit Ubium
Ukwa East,Nsit Ubium
Ukwa West,Nsit Ubium
Ukwa West,Nsit Ubium
Umu-Neochi,Oru West
Umu-Neochi,Oru West
Umuahia North,Ngor-Okpala
Umuahia North,Ngor-Okpala
Umuahia South,Ngor-Okpala
Umuahia South,Ngor-Okpala
Demsa,Alkaleri
Demsa,Alkaleri
Gireri,Darazo
Gireri,Darazo
Gombi,Alkaleri
Gombi,Alkaleri
Guyuk,Alkaleri
Guyuk,Alkaleri
Hong,Darazo
Hong,Darazo
Lamurde,Alkaleri
Lamurde,Alkaleri
Mayo-Belwa,Alkaleri
Mayo-Belwa,Alkaleri
Numan,Alkaleri
Numan,Alkaleri
Shelleng,Darazo
Shelleng,Darazo
Itu,Ngor-Okpala
Itu,Ngor-Okpala
Song,Darazo
Song,Darazo
Yola North,Alkaleri
Yola North,Alkaleri
Yola South,Alkaleri
Yola South,Alkaleri
Abak,Nsit Ubium
Abak,Nsit Ubium
Awka North,Uzo-Uwani
Awka North,Uzo-Uwani
Eket,Nsit Ubium
Eket,Nsit Ubium
Esit Eket,Nsit Ubium
Esit Eket,Nsit Ubium
Essien Udim,Ngor-Okpala
Essien Udim,Ngor-Okpala
Etim Ekpo,Ngor-Okpala
Etim Ekpo,Ngor-Okpala
Etinan,Nsit Ubium
Etinan,Nsit Ubium
Ibesikpo Asutan,Nsit Ubium
Ibesikpo Asutan,Nsit Ubium
Ibiono Ibom,Ngor-Okpala
Ibiono Ibom,Ngor-Okpala
Ika,Ngor-Okpala
Ika,Ngor-Okpala
Ikono,Ngor-Okpala
Ikono,Ngor-Okpala
Ikot Abasi,Nsit Ubium
Ikot Abasi,Nsit Ubium
Ikot Ekpene,Ngor-Okpala
Ikot Ekpene,Ngor-Okpala
Ini,Ngor-Okpala
Ini,Ngor-Okpala
Mkpat Enin,Nsit Ubium
Mkpat Enin,Nsit Ubium
Nsit Atai,Nsit Ubium
Nsit Atai,Nsit Ubium
Nsit Ibom,Nsit Ubium
Nsit Ibom,Nsit Ubium
Nsit Ubium,Nsit Ubium
Nsit Ubium,Nsit Ubium
Awka South,Uzo-Uwani
Awka South,Uzo-Uwani
Obot Akara,Ngor-Okpala
Obot Akara,Ngor-Okpala
Okobo,Nsit Ubium
Okobo,Nsit Ubium
Onna,Nsit Ubium
Onna,Nsit Ubium
Oruk Anam,Nsit Ubium
Oruk Anam,Nsit Ubium
Ukanafun,Nsit Ubium
Ukanafun,Nsit Ubium
Uruan,Nsit Ubium
Uruan,Nsit Ubium
Urue-Offong-Oruko,Nsit Ubium
Urue-Offong-Oruko,Nsit Ubium
Ayamelum,Uzo-Uwani
Ayamelum,Uzo-Uwani
Uyo,Nsit Ubium
Uyo,Nsit Ubium
Aguata,Oru West
Aguata,Oru West
Anambra East,Uzo-Uwani
Anambra East,Uzo-Uwani
Anambra West,Uzo-Uwani
Anambra West,Uzo-Uwani
Anaocha,Oru West
Anaocha,Oru West
Dunukofia,Uzo-Uwani
Dunukofia,Uzo-Uwani
Ekwusigo,Oru West
Ekwusigo,Oru West
Idemili North,Uzo-Uwani
Idemili North,Uzo-Uwani
Idemili South,Oru West
Idemili South,Oru West
Ihiala,Oru West
Ihiala,Oru West
Njikoka,Uzo-Uwani
Njikoka,Uzo-Uwani
Nnewi North,Oru West
Nnewi North,Oru West
Nnewi South,Oru West
Nnewi South,Oru West
Ogbaru,Ahoada West
Ogbaru,Ahoada West
Onitsha North,Uzo-Uwani
Onitsha North,Uzo-Uwani
Onitsha South,Uzo-Uwani
Onitsha South,Uzo-Uwani
Orumba North,Oru West
Orumba North,Oru West
Orumba South,Oru West
Orumba South,Oru West
Oyi,Uzo-Uwani
Oyi,Uzo-Uwani
Alkaleri,Alkaleri
Alkaleri,Alkaleri
Bauchi,Alkaleri
Bauchi,Alkaleri
Bogoro,Alkaleri
Bogoro,Alkaleri
Damban,Darazo
Damban,Darazo
Darazo,Darazo
Darazo,Darazo
Dass,Alkaleri
Dass,Alkaleri
Gamawa,Gwarzo
Gamawa,Gwarzo
Jama'are,Taura
Jama'are,Taura
Ganjuwa,Darazo
Ganjuwa,Darazo
Giade,Darazo
Giade,Darazo
Itas-Gadau,Taura
Itas-Gadau,Taura
Katagum,Gwarzo
Katagum,Gwarzo
Kirfi,Alkaleri
Kirfi,Alkaleri
Misau,Darazo
Misau,Darazo
Ningi,Takali
Ningi,Takali
Ukum,Keana
Ukum,Keana
Shira,Takali
Shira,Takali
Tafawa-Balewa,Alkaleri
Tafawa-Balewa,Alkaleri
Toro,Giwa
Toro,Giwa
Warji,Takali
Warji,Takali
Zaki,Taura
Zaki,Taura
Kolokuma-Opokuma,Ahoada West
Kolokuma-Opokuma,Ahoada West
Nembe,Ahoada West
Nembe,Ahoada West
Ogbia,Ahoada West
Ogbia,Ahoada West
Sagbama,Ahoada West
Sagbama,Ahoada West
Yenegoa,Isoko South
Yenegoa,Isoko South
Ado,Akinyele
Ado,Akinyele
Agatu,Keana
Agatu,Keana
Apa,Keana
Apa,Keana
Buruku,Keana
Buruku,Keana
Gboko,Keana
Gboko,Keana
Guma,Keana
Guma,Keana
Gwer East,Oke-Ero
Gwer East,Oke-Ero
Gwer West,Keana
Gwer West,Keana
Katsina-Ala,Keana
Katsina-Ala,Keana
Konshisha,Oke-Ero
Konshisha,Oke-Ero
Logo,Keana
Logo,Keana
Makurdi,Keana
Makurdi,Keana
Obi1,Keana
Obi1,Keana
Ogbadibo,Owan East
Ogbadibo,Owan East
Ohimini,Akinyele
Ohimini,Akinyele
Oju,Oke-Ero
Oju,Oke-Ero
Okpokwu,Akinyele
Okpokwu,Akinyele
Oturkpo,Owan East
Oturkpo,Owan East
Tarka,Keana
Tarka,Keana
Ushongo,Oke-Ero
Ushongo,Oke-Ero
Vandeikya,Oke-Ero
Vandeikya,Oke-Ero
Askira-Uba,Darazo
Askira-Uba,Darazo
Enugu East,Uzo-Uwani
Enugu East,Uzo-Uwani
Bayo,Alkaleri
Bayo,Alkaleri
Biu,Darazo
Biu,Darazo
Chibok,Darazo
Chibok,Darazo
Damboa,Darazo
Damboa,Darazo
Biase,Ngor-Okpala
Biase,Ngor-Okpala
Dikwa,Darazo
Dikwa,Darazo
Gubio,Gawabawa
Gubio,Gawabawa
Jere,Gawabawa
Jere,Gawabawa
Guzamala,Babura
Guzamala,Babura
Hawul,Darazo
Hawul,Darazo
Kwaya Kusar,Alkaleri
Kwaya Kusar,Alkaleri
Enugu North,Uzo-Uwani
Enugu North,Uzo-Uwani
Kaga,Darazo
Kaga,Darazo
Mafa,Darazo
Mafa,Darazo
Obudu,Obubra
Obudu,Obubra
Konduga,Darazo
Konduga,Darazo
Bomadi,Isoko South
Bomadi,Isoko South
Magumeri,Gawabawa
Magumeri,Gawabawa
Maiduguri,Darazo
Maiduguri,Darazo
Shani,Alkaleri
Shani,Alkaleri
Abi,Obubra
Abi,Obubra
Marte,Babura
Marte,Babura
Nganzai,Gawabawa
Nganzai,Gawabawa
Bekwara,Oke-Ero
Bekwara,Oke-Ero
Calabar-Municipal,Nsit Ubium
Calabar-Municipal,Nsit Ubium
Ikom,Obubra
Ikom,Obubra
Obubra,Obubra
Obubra,Obubra
Enugu South,Uzo-Uwani
Enugu South,Uzo-Uwani
Odukpani,Ngor-Okpala
Odukpani,Ngor-Okpala
Ogoja,Obubra
Ogoja,Obubra
Yakurr,Obubra
Yakurr,Obubra
Ogbomosho North,Akinyele
Ogbomosho North,Akinyele
Yala,Oke-Ero
Yala,Oke-Ero
Aniocha North,Uzo-Uwani
Aniocha North,Uzo-Uwani
Aniocha South,Uzo-Uwani
Aniocha South,Uzo-Uwani
Ibadan South West,Owan East
Ibadan South West,Owan East
Ethiope East,Isoko South
Ethiope East,Isoko South
Ethiope West,Isoko South
Ethiope West,Isoko South
Ika North East,Uzo-Uwani
Ika North East,Uzo-Uwani
Ika South,Uzo-Uwani
Ika South,Uzo-Uwani
Isoko North,Isoko South
Isoko North,Isoko South
Ogbomosho South,Akinyele
Ogbomosho South,Akinyele
Isoko South,Isoko South
Isoko South,Isoko South
Ndokwa East,Ahoada West
Ndokwa East,Ahoada West
Ndokwa West,Isoko South
Ndokwa West,Isoko South
Okpe,Isoko South
Okpe,Isoko South
Oshimili North,Uzo-Uwani
Oshimili North,Uzo-Uwani
Oshimili South,Uzo-Uwani
Oshimili South,Uzo-Uwani
Patani,Isoko South
Patani,Isoko South
Sapele,Isoko South
Sapele,Isoko South
Udu,Isoko South
Udu,Isoko South
Ughelli North,Isoko South
Ughelli North,Isoko South
Ughelli South,Isoko South
Ughelli South,Isoko South
Ukwuani,Uzo-Uwani
Ukwuani,Uzo-Uwani
Uvwie,Isoko South
Uvwie,Isoko South
Warri South,Isoko South
Warri South,Isoko South
Ohaozara,Obubra
Ohaozara,Obubra
Abakaliki,Owan East
Abakaliki,Owan East
Afikpo North,Oru West
Afikpo North,Oru West
Afikpo South,Ngor-Okpala
Afikpo South,Ngor-Okpala
Ebonyi,Owan East
Ebonyi,Owan East
Ezza North,Owan East
Ezza North,Owan East
Ezza South,Obubra
Ezza South,Obubra
Ikwo,Obubra
Ikwo,Obubra
Ishielu,Owan East
Ishielu,Owan East
Ivo,Ngor-Okpala
Ivo,Ngor-Okpala
Izzi,Owan East
Izzi,Owan East
Ohaukwu,Owan East
Ohaukwu,Owan East
Onicha,Obubra
Onicha,Obubra
Akoko-Edo,Owan East
Akoko-Edo,Owan East
Egor,Uzo-Uwani
Egor,Uzo-Uwani
Esan North East,Uzo-Uwani
Esan North East,Uzo-Uwani
Esan Central,Owan East
Esan Central,Owan East
Esan South East,Uzo-Uwani
Esan South East,Uzo-Uwani
Esan West,Uzo-Uwani
Esan West,Uzo-Uwani
Etsako Central,Owan East
Etsako Central,Owan East
Etsako East,Owan East
Etsako East,Owan East
Etsako West,Owan East
Etsako West,Owan East
Igueben,Uzo-Uwani
Igueben,Uzo-Uwani
Ikpoba-Okha,Uzo-Uwani
Ikpoba-Okha,Uzo-Uwani
