State,LGA
Abia,Aba North
Abia,Aba South
Abia,Arochukwu
Abia,Bende
Abia,Ikwuano
Abia,Isiala-Ngwa North
Abia,Isiala-Ngwa South
Abia,Isuikwato
Abia,Obi Nwa
Abia,Ohafia
Abia,Osisioma Ngwa
Abia,Ugwunagbo
Abia,Ukwa East
Abia,Ukwa West
Abia,Umu-Neochi
Abia,Umuahia North
Abia,Umuahia South
Adamawa,Demsa
Adamawa,Gireri
Adamawa,Gombi
Adamawa,Guyuk
Adamawa,Hong
Adamawa,Lamurde
Adamawa,Mayo-Belwa
Adamawa,Numan
Adamawa,Shelleng
Akwa Ibom,Itu
Adamawa,Song
Adamawa,Yola North
Adamawa,Yola South
Akwa Ibom,Abak
Anambra,Awka North
Akwa Ibom,Eket
Akwa Ibom,Esit Eket
Akwa Ibom,Essien Udim
Akwa Ibom,Etim Ekpo
Akwa Ibom,Etinan
Akwa Ibom,Ibesikpo Asutan
Akwa Ibom,Ibiono Ibom
Akwa Ibom,Ika
Akwa Ibom,Ikono
Akwa Ibom,Ikot Abasi
Akwa Ibom,Ikot Ekpene
Akwa Ibom,Ini
Akwa Ibom,Mkpat Enin
Akwa Ibom,Nsit Atai
Akwa Ibom,Nsit Ibom
Akwa Ibom,Nsit Ubium
Anambra,Awka South
Akwa Ibom,Obot Akara
Akwa Ibom,Okobo
Akwa Ibom,Onna
Akwa Ibom,Oruk Anam
Akwa Ibom,Ukanafun
Akwa Ibom,Uruan
Akwa Ibom,Urue-Offong-Oruko
Anambra,Ayamelum
Akwa Ibom,Uyo
Anambra,Aguata
Anambra,Anambra East
Anambra,Anambra West
Anambra,Anaocha
Anambra,Dunukofia
Anambra,Ekwusigo
Anambra,Idemili North
Anambra,Idemili South
Anambra,Ihiala
Anambra,Njikoka
Anambra,Nnewi North
Anambra,Nnewi South
Anambra,Ogbaru
Anambra,Onitsha North
Anambra,Onitsha South
Anambra,Orumba North
Anambra,Orumba South
Anambra,Oyi
Bauchi,Alkaleri
Bauchi,Bauchi
Bauchi,Bogoro
Bauchi,Damban
Bauchi,Darazo
Bauchi,Dass
Bauchi,Gamawa
Bauchi,Jama'are
Bauchi,Ganjuwa
Bauchi,Giade
Bauchi,Itas-Gadau
Bauchi,Katagum
Bauchi,Kirfi
Bauchi,Misau
Bauchi,Ningi
Benue,Ukum
Bauchi,Shira
Bauchi,Tafawa-Balewa
Bauchi,Toro
Bauchi,Warji
Bauchi,Zaki
Bayelsa,Kolokuma-Opokuma
Bayelsa,Nembe
Bayelsa,Ogbia
Bayelsa,Sagbama
Bayelsa,Yenegoa
Benue,Ado
Benue,Agatu
Benue,Apa
Benue,Buruku
Benue,Gboko
Benue,Guma
Benue,Gwer East
Benue,Gwer West
Benue,Katsina-Ala
Benue,Konshisha
Benue,Logo
Benue,Makurdi
Benue,Obi1
Benue,Ogbadibo
Benue,Ohimini
Benue,Oju
Benue,Okpokwu
Benue,Oturkpo
Benue,Tarka
Benue,Ushongo
Benue,Vandeikya
Borno,Askira-Uba
Enugu,Enugu East
Borno,Bayo
