,X1,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,adm1,llins1
1,1,Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,1,june,162,Abia,Urban areas
2,12,Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,2,june,1257,Abia,Urban areas
3,14,Aba North,Ngor-Okpala,2026,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,3,june,2352,Abia,Urban areas
4,16,Aba North,Ngor-Okpala,2029,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,4,june,3447,Abia,Urban areas
5,3,Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,1,june,162,Abia,Urban areas
6,32,Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,2,june,1257,Abia,Urban areas
7,34,Aba South,Ngor-Okpala,2026,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,3,june,2352,Abia,Urban areas
8,36,Aba South,Ngor-Okpala,2029,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,4,june,3447,Abia,Urban areas
9,1491,Abadam,Babura,2020,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,1,may,131,Borno,PBO
10,14911,Abadam,Babura,2023,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,2,may,1226,Borno,PBO
11,14912,Abadam,Babura,2026,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,3,may,2321,Borno,PBO
12,14913,Abadam,Babura,2029,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,4,may,3416,Borno,PBO
13,487,Abaji,Keana,2020,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,1,august,223,Federal Capital Territory,PBO
14,4871,Abaji,Keana,2023,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,2,august,1318,Federal Capital Territory,PBO
15,4872,Abaji,Keana,2026,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,3,august,2413,Federal Capital Territory,PBO
16,4873,Abaji,Keana,2029,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,4,august,3508,Federal Capital Territory,PBO
17,53,Abak,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,1,june,527,Akwa Ibom,PBO
18,532,Abak,Nsit Ubium,2024,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,2,june,1622,Akwa Ibom,PBO
19,534,Abak,Nsit Ubium,2027,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,3,june,2717,Akwa Ibom,PBO
20,536,Abak,Nsit Ubium,2030,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,4,june,3812,Akwa Ibom,PBO
21,365,Abakaliki,Owan East,2020,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,1,march,70,Ebonyi,PBO
22,3651,Abakaliki,Owan East,2023,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,2,march,1165,Ebonyi,PBO
23,3652,Abakaliki,Owan East,2026,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,3,march,2260,Ebonyi,PBO
24,3653,Abakaliki,Owan East,2029,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,4,march,3355,Ebonyi,PBO
25,61,Abeokuta North,Owan East,2021,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,1,march,435,Ogun,PBO
26,612,Abeokuta North,Owan East,2024,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,2,march,1530,Ogun,PBO
27,614,Abeokuta North,Owan East,2027,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,3,march,2625,Ogun,PBO
28,616,Abeokuta North,Owan East,2030,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,4,march,3720,Ogun,PBO
29,65,Abeokuta South,Uzo-Uwani,2021,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,1,june,527,Ogun,PBO
30,652,Abeokuta South,Uzo-Uwani,2024,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,2,june,1622,Ogun,PBO
31,654,Abeokuta South,Uzo-Uwani,2027,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,3,june,2717,Ogun,PBO
32,656,Abeokuta South,Uzo-Uwani,2030,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,4,june,3812,Ogun,PBO
33,67,Abi,Obubra,2021,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,1,june,527,Cross River,PBO
34,672,Abi,Obubra,2024,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,2,june,1622,Cross River,PBO
35,674,Abi,Obubra,2027,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,3,june,2717,Cross River,PBO
36,676,Abi,Obubra,2030,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,4,june,3812,Cross River,PBO
